scientificName	scientificNameID	count	scientificNameMatch	url	status	scientificNameaccepted	rank	kingdom	class	family	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct
Delibus		2													
Delibus nudus		73													
Demospongiae	urn:lsid:marinespecies.org:taxname:164811	3197	Demospongiae	https://marinespecies.org/aphia.php?p=taxdetails&id=164811	accepted	Demospongiae	Class	Animalia	Demospongiae		1	1	1	0	0
Dendostrea	urn:lsid:marinespecies.org:taxname:415280	47	Dendostrea	https://marinespecies.org/aphia.php?p=taxdetails&id=415280	accepted	Dendostrea	Genus	Animalia	Bivalvia	Ostreidae	1				
Dendostrea crenulifera	urn:lsid:marinespecies.org:taxname:244714	141	Dendostrea crenulifera	https://marinespecies.org/aphia.php?p=taxdetails&id=244714	unaccepted	Dendostrea sandvichensis	Species	Animalia	Bivalvia	Ostreidae	1				
Dendostrea frons	urn:lsid:marinespecies.org:taxname:420779	1401	Dendostrea frons	https://marinespecies.org/aphia.php?p=taxdetails&id=420779	accepted	Dendostrea frons	Species	Animalia	Bivalvia	Ostreidae	1				
Dendroceratida	urn:lsid:marinespecies.org:taxname:131594	40	Dendroceratida	https://marinespecies.org/aphia.php?p=taxdetails&id=131594	accepted	Dendroceratida	Order	Animalia	Demospongiae		1	0	0	0	0
Dendrochirus brachypterus	urn:lsid:marinespecies.org:taxname:218052	1	Dendrochirus brachypterus	https://marinespecies.org/aphia.php?p=taxdetails&id=218052	accepted	Dendrochirus brachypterus	Species	Animalia	Teleostei	Scorpaenidae	1	0	0	0	
Dendrodoris nigra	urn:lsid:marinespecies.org:taxname:139519	9	Dendrodoris nigra	https://marinespecies.org/aphia.php?p=taxdetails&id=139519	accepted	Dendrodoris nigra	Species	Animalia	Gastropoda	Dendrodorididae	1	0	0	0	
Dendropoma rhyssoconchum	urn:lsid:marinespecies.org:taxname:732731	2	Dendropoma rhyssoconchum	https://marinespecies.org/aphia.php?p=taxdetails&id=732731	accepted	Dendropoma rhyssoconchum	Species	Animalia	Gastropoda	Vermetidae	1	0	0	0	
Dermatophagoides pteronyssinus		2													
Dero	urn:lsid:marinespecies.org:taxname:993490	1	Dero	https://marinespecies.org/aphia.php?p=taxdetails&id=993490	accepted	Dero	Genus	Animalia	Clitellata	Naididae			1		0
Dero furcata		13													
Desmacella austini	urn:lsid:marinespecies.org:taxname:241409	5	Desmacella austini	https://marinespecies.org/aphia.php?p=taxdetails&id=241409	accepted	Desmacella austini	Species	Animalia	Demospongiae	Desmacellidae	1	0	0	0	0
Desmodesmus	urn:lsid:marinespecies.org:taxname:249711	45	Desmodesmus	https://marinespecies.org/aphia.php?p=taxdetails&id=249711	accepted	Desmodesmus	Genus	Plantae	Chlorophyceae	Scenedesmaceae	0	1	1	0	
Desmodesmus pannonicus	urn:lsid:marinespecies.org:taxname:612509	56	Desmodesmus pannonicus	https://marinespecies.org/aphia.php?p=taxdetails&id=612509	accepted	Desmodesmus pannonicus	Species	Plantae	Chlorophyceae	Scenedesmaceae	0	0	1		
Desmolaimus	urn:lsid:marinespecies.org:taxname:2474	2	Desmolaimus	https://marinespecies.org/aphia.php?p=taxdetails&id=2474	accepted	Desmolaimus	Genus	Animalia	Chromadorea	Linhomoeidae	1	1			
Desmoscolex sp.		17													
Dexiostoma campyla		6													
Diadumene	urn:lsid:marinespecies.org:taxname:100728	3	Diadumene	https://marinespecies.org/aphia.php?p=taxdetails&id=100728	accepted	Diadumene	Genus	Animalia	Hexacorallia	Diadumenidae	1	1		0	
Diadumene leucolena	urn:lsid:marinespecies.org:taxname:158230	3	Diadumene leucolena	https://marinespecies.org/aphia.php?p=taxdetails&id=158230	accepted	Diadumene leucolena	Species	Animalia	Hexacorallia	Diadumenidae	1			0	
Diadumene lineata	urn:lsid:marinespecies.org:taxname:395099	1	Diadumene lineata	https://marinespecies.org/aphia.php?p=taxdetails&id=395099	accepted	Diadumene lineata	Species	Animalia	Hexacorallia	Diadumenidae	1	1	0	0	
Diarthrodes sp.		5													
Dicranopteris linearis		3													
Dicrateria rotunda	urn:lsid:marinespecies.org:taxname:840109	13	Dicrateria rotunda	https://marinespecies.org/aphia.php?p=taxdetails&id=840109	accepted	Dicrateria rotunda	Species	Chromista	Coccolithophyceae	Isochrysidaceae	1				
Dictyocha octonaria	urn:lsid:marinespecies.org:taxname:341584	6	Dictyocha octonaria	https://marinespecies.org/aphia.php?p=taxdetails&id=341584	unaccepted	Octactis octonaria	Species	Chromista	Dictyochophyceae	Dictyochaceae	1				
Dictyochloropsis	urn:lsid:marinespecies.org:taxname:600800	16	Dictyochloropsis	https://marinespecies.org/aphia.php?p=taxdetails&id=600800	accepted	Dictyochloropsis	Genus	Plantae	Trebouxiophyceae	Trebouxiaceae			1	1	
Dictyochloropsis irregularis	urn:lsid:marinespecies.org:taxname:612530	31	Dictyochloropsis irregularis	https://marinespecies.org/aphia.php?p=taxdetails&id=612530	unaccepted	Symbiochloris irregularis	Species	Plantae	Trebouxiophyceae	Trebouxiaceae	0	0		1	
Dictyocystidae	urn:lsid:marinespecies.org:taxname:196833	28	Dictyocystidae	https://marinespecies.org/aphia.php?p=taxdetails&id=196833	accepted	Dictyocystidae	Family	Chromista	Oligotrichea	Dictyocystidae	1	0	0	0	
Dictyodendrilla cavernosa	urn:lsid:marinespecies.org:taxname:164892	25	Dictyodendrilla cavernosa	https://marinespecies.org/aphia.php?p=taxdetails&id=164892	accepted	Dictyodendrilla cavernosa	Species	Animalia	Demospongiae	Dictyodendrillidae	1	0	0	0	
Dictyosphaerium ehrenbergianum	urn:lsid:marinespecies.org:taxname:178625	33	Dictyosphaerium ehrenbergianum	https://marinespecies.org/aphia.php?p=taxdetails&id=178625	accepted	Dictyosphaerium ehrenbergianum	Species	Plantae	Trebouxiophyceae	Chlorellaceae	0	0	1		
Didemnum	urn:lsid:marinespecies.org:taxname:103456	40	Didemnum	https://marinespecies.org/aphia.php?p=taxdetails&id=103456	accepted	Didemnum	Genus	Animalia	Ascidiacea	Didemnidae	1		0	0	
Didemnum cineraceum	urn:lsid:marinespecies.org:taxname:250484	1	Didemnum cineraceum	https://marinespecies.org/aphia.php?p=taxdetails&id=250484	accepted	Didemnum cineraceum	Species	Animalia	Ascidiacea	Didemnidae	1		0	0	
Didemnum granulatum	urn:lsid:marinespecies.org:taxname:212503	5	Didemnum granulatum	https://marinespecies.org/aphia.php?p=taxdetails&id=212503	accepted	Didemnum granulatum	Species	Animalia	Ascidiacea	Didemnidae	1		0	0	
Didemnum perlucidum	urn:lsid:marinespecies.org:taxname:212506	15	Didemnum perlucidum	https://marinespecies.org/aphia.php?p=taxdetails&id=212506	accepted	Didemnum perlucidum	Species	Animalia	Ascidiacea	Didemnidae	1		0	0	
Didemnum sp.		68													
Didiniidae X sp.		50													
Didymiidae	urn:lsid:marinespecies.org:taxname:1501269	2	Didymiidae	https://marinespecies.org/aphia.php?p=taxdetails&id=1501269	accepted	Didymiidae	Family	Protozoa	Myxogastrea	Didymiidae				1	
Didymium nigripes	urn:lsid:marinespecies.org:taxname:1501278	6	Didymium nigripes	https://marinespecies.org/aphia.php?p=taxdetails&id=1501278	accepted	Didymium nigripes	Species	Protozoa	Myxogastrea	Didymiidae				1	
Didymocrea sadasivanii:mito		9													
Didymozoid sp.		45													
Digenea	urn:lsid:marinespecies.org:taxname:143909	26	Digenea	https://marinespecies.org/aphia.php?p=taxdetails&id=143909	accepted	Digenea	Genus	Plantae	Florideophyceae	Rhodomelaceae	1				
Dilabifilum arthropyreniae	urn:lsid:marinespecies.org:taxname:416405	120	Dilabifilum arthropyreniae	https://marinespecies.org/aphia.php?p=taxdetails&id=416405	unaccepted	Pseudendoclonium arthopyreniae	Species	Plantae	Ulvophyceae	Kornmanniaceae	0	0	1		
Dilabifilum sp.		4													
Diniatys dentifer	urn:lsid:marinespecies.org:taxname:599459	69	Diniatys dentifer	https://marinespecies.org/aphia.php?p=taxdetails&id=599459	accepted	Diniatys dentifer	Species	Animalia	Gastropoda	Haminoeidae	1	0	0	0	
Diniatys dubia		7													
Dino-Group-I XX sp.		48													
Dino-Group-I-Clade-1 X sp.		2286													
